
aftskirt.OUT (severely abridged) Prebuckled state

 PREBUCKLING STRESS RESULTANTS IN SHELL SEGMENT NO.  1
 FOR CIRCUMFERENTIAL ANGLE, THETAS =  0.0000E+00
           PREBUCKLING MEMBRANE STATE    PREBUCKLING MEMBRANE STATE
              FOR LOAD SYSTEM "A"          FOR LOAD SYSTEM "B"
               (EIGENPARAMETER)                 (CONSTANT)
 STATION   MERIDIONAL   CIRCUMFERENTIAL  MERIDIONAL   CIRCUMFERENTIAL
   NO.     RESULTANT      RESULTANT      RESULTANT    RESULTANT
     1  -2.709059E+02  -8.127175E+01   9.649987E+02   2.894996E+02
     2  -2.709315E+02  -8.056760E+01   9.650900E+02   2.869914E+02
     3  -2.710007E+02  -7.858111E+01   9.653369E+02   2.799153E+02
     4  -2.710946E+02  -7.572851E+01   9.656711E+02   2.697539E+02
     5  -2.711912E+02  -7.263882E+01   9.660152E+02   2.587481E+02
     6  -2.712895E+02  -6.936777E+01   9.663652E+02   2.470963E+02
     7  -2.713894E+02  -6.593098E+01   9.667213E+02   2.348540E+02
     8  -2.714912E+02  -6.233972E+01   9.670840E+02   2.220615E+02
     9  -2.715950E+02  -5.860172E+01   9.674534E+02   2.087463E+02
    10  -2.717007E+02  -5.472168E+01   9.678300E+02   1.949251E+02
    11  -2.718070E+02  -5.075300E+01   9.682089E+02   1.807882E+02
    12  -2.718876E+02  -4.770018E+01   9.684960E+02   1.699137E+02
    13  -2.719179E+02  -4.654215E+01   9.686041E+02   1.657887E+02

 PREBUCKLING STRESS RESULTANTS IN SHELL SEGMENT NO.  2
 FOR CIRCUMFERENTIAL ANGLE, THETAS =  0.0000E+00
           PREBUCKLING MEMBRANE STATE    PREBUCKLING MEMBRANE STATE
              FOR LOAD SYSTEM "A"          FOR LOAD SYSTEM "B"
               (EIGENPARAMETER)                 (CONSTANT)
 STATION   MERIDIONAL   CIRCUMFERENTIAL  MERIDIONAL   CIRCUMFERENTIAL
   NO.     RESULTANT      RESULTANT      RESULTANT    RESULTANT
