

nasaortho.OUT (abridged output from BIGBOSOR4)

 ***** EIGENVALUES AND MODE SHAPES *****
  EIGENVALUE(CIRC. WAVES)
 =======================================
    4.8485E+00(   2)
    4.4486E+00(   3)
    3.7108E+00(   4)
    3.0393E+00(   5)
    2.8031E+00(   6) <--general buckling
    2.8772E+00(   7)
    3.1000E+00(   8)
    3.1632E+00(   9)
    3.1132E+00(  10)
    3.0608E+00(  11)
    3.0170E+00(  12)
    2.9829E+00(  13)
    2.9587E+00(  14)
    2.9434E+00(  15)
    2.9363E+00(  16)
    2.9362E+00(  17) <--inter-ring buckling
    2.9420E+00(  18)
    2.9527E+00(  19)
    2.9672E+00(  20)
 =======================================
