
nasaortho2.OUT (abridged output from bigbosorall)

 ***** EIGENVALUES AND MODE SHAPES *****
  EIGENVALUE(CIRC. WAVES)
 =======================================
    3.3831E+00(   2)
    3.1330E+00(   3)
    2.6943E+00(   4)
    2.2258E+00(   5)
    2.0220E+00(   6) <--general buckling
    2.0601E+00(   7)
    2.1583E+00(   8)
    2.1286E+00(   9)
    2.0750E+00(  10)
    2.0259E+00(  11)
    1.9849E+00(  12)
    1.9523E+00(  13)
    1.9279E+00(  14)
    1.9112E+00(  15)
    1.9013E+00(  16)
    1.8972E+00(  17) <--interring buckling
    1.8981E+00(  18)
    1.9032E+00(  19)
    1.9115E+00(  20)
 =======================================
