=markeroff
=scaleline(0.65)
=samescale
=border
=xlabel(Radius)
=ylabel(Axial Station)
=gridlines(0, 0)

"Undeformed
+linestyle(dashed)
5.2180E+00 0.0000E+00
5.2180E+00 1.2458E-02
5.2180E+00 4.5866E-02
5.2180E+00 9.0600E-02
5.2180E+00 1.3590E-01
5.2180E+00 1.8120E-01
5.2180E+00 2.2650E-01
5.2180E+00 2.7180E-01
5.2180E+00 3.1710E-01
5.2180E+00 3.6240E-01
5.2180E+00 4.0713E-01
5.2180E+00 4.4054E-01
5.2180E+00 4.5300E-01

+linestyle(dashed)
5.2180E+00 2.2650E-01
5.2077E+00 2.2650E-01
5.1802E+00 2.2650E-01
5.1433E+00 2.2650E-01
5.1060E+00 2.2650E-01
5.0687E+00 2.2650E-01
5.0313E+00 2.2650E-01
4.9940E+00 2.2650E-01
4.9567E+00 2.2650E-01
4.9198E+00 2.2650E-01
4.8923E+00 2.2650E-01
4.8820E+00 2.2650E-01

+linestyle(dashed)
4.8820E+00 1.8200E-01
4.8820E+00 1.8608E-01
4.8820E+00 1.9702E-01
4.8820E+00 2.1167E-01
4.8820E+00 2.2650E-01
4.8820E+00 2.4133E-01
4.8820E+00 2.5598E-01
4.8820E+00 2.6692E-01
4.8820E+00 2.7100E-01

"Deformed
5.2179E+00 -2.5273E-12
5.2179E+00 1.2458E-02
5.2180E+00 4.5867E-02
5.2180E+00 9.0603E-02
5.2180E+00 1.3590E-01
5.2180E+00 1.8121E-01
5.2180E+00 2.2651E-01
5.2180E+00 2.7181E-01
5.2180E+00 3.1711E-01
5.2180E+00 3.6241E-01
5.2181E+00 4.0714E-01
5.2181E+00 4.4055E-01
5.2181E+00 4.5301E-01

5.2180E+00 2.2651E-01
5.2077E+00 2.2657E-01
5.1802E+00 2.2732E-01
5.1433E+00 2.2943E-01
5.1060E+00 2.3264E-01
5.0687E+00 2.3668E-01
5.0313E+00 2.4130E-01
4.9940E+00 2.4627E-01
4.9567E+00 2.5139E-01
4.9198E+00 2.5643E-01
4.8923E+00 2.6012E-01
4.8820E+00 2.6148E-01

4.8762E+00 2.1693E-01
4.8767E+00 2.2102E-01
4.8781E+00 2.3198E-01
4.8801E+00 2.4664E-01
4.8820E+00 2.6148E-01
4.8840E+00 2.7631E-01
4.8859E+00 2.9094E-01
4.8873E+00 3.0186E-01
4.8878E+00 3.0593E-01
